Category,Page,Post Type,Rating,Debate,share_count,reaction_count,comment_count
2,1,4,4,0,96.0,146.0,15.0
2,1,1,3,0,1.0,33.0,34.0
2,1,1,3,0,34.0,63.0,27.0
2,1,1,3,0,35.0,170.0,86.0
2,1,4,3,0,568.0,3188.0,2815.0
2,1,1,3,0,23.0,28.0,21.0
2,1,4,3,0,46.0,409.0,105.0
2,1,1,3,0,7.0,62.0,64.0
2,1,1,3,0,7.0,39.0,6.0
2,1,4,3,0,152.0,278.0,59.0
2,1,1,3,0,8.0,29.0,14.0
2,1,1,3,0,96.0,10.0,0.0
2,1,4,3,0,37.0,507.0,164.0
2,1,1,3,0,4.0,23.0,2.0
2,1,4,3,0,10.0,85.0,29.0
2,1,1,3,0,10.0,41.0,14.0
2,1,4,4,0,3.0,9.0,3.0
2,1,4,3,0,96.0,16.0,20.0
2,1,1,3,0,15.0,276.0,74.0
2,1,1,3,0,56.0,300.0,65.0
2,1,4,3,0,64.0,480.0,130.0
2,1,1,3,0,6.0,33.0,5.0
2,1,4,3,0,289.0,674.0,243.0
2,1,1,3,0,2.0,18.0,11.0
2,1,4,4,0,96.0,24.0,7.0
2,1,4,4,0,5.0,19.0,6.0
2,1,4,3,0,30.0,268.0,177.0
2,1,1,3,0,50.0,157.0,129.0
2,1,4,4,0,96.0,47.0,6.0
2,1,1,3,0,13.0,101.0,73.0
2,1,4,4,0,25.0,207.0,108.0
2,1,1,3,0,2.0,37.0,25.0
2,1,1,3,0,25.0,263.0,87.0
2,1,1,3,0,15.0,106.0,29.0
2,1,1,3,0,3.0,24.0,6.0
2,1,1,3,0,23.0,98.0,8.0
2,1,1,3,0,5.0,36.0,20.0
2,1,1,1,0,117.0,614.0,70.0
2,1,1,3,0,6.0,45.0,23.0
2,1,4,3,0,96.0,233.0,32.0
2,1,4,3,0,24.0,211.0,46.0
2,1,1,3,0,1.0,23.0,15.0
2,1,4,3,0,231.0,572.0,76.0
2,1,1,3,0,31.0,170.0,97.0
2,1,1,3,0,96.0,13.0,4.0
2,1,4,4,0,96.0,39.0,6.0
2,1,4,3,0,104.0,627.0,206.0
2,1,4,3,0,30.0,25.0,13.0
2,1,1,3,0,15.0,209.0,47.0
2,1,1,3,0,3.0,29.0,5.0
2,1,1,3,0,4.0,80.0,44.0
2,1,1,3,0,339.0,430.0,231.0
2,1,1,3,0,96.0,14.0,4.0
2,1,1,3,0,9.0,37.0,12.0
2,1,1,3,0,45.0,273.0,70.0
2,1,1,3,0,96.0,12.0,4.0
2,1,1,3,0,11.0,83.0,57.0
2,1,1,3,0,35.0,243.0,81.0
2,1,4,4,0,96.0,63.0,1.0
2,1,1,3,0,42.0,68.0,48.0
2,1,4,4,0,72.0,137.0,76.0
2,1,1,3,0,7.0,63.0,27.0
2,1,4,3,0,246.0,704.0,386.0
2,1,1,3,0,3.0,98.0,36.0
2,1,1,3,0,119.0,415.0,102.0
2,1,1,3,0,4.0,52.0,18.0
2,1,4,3,0,3.0,47.0,17.0
2,1,3,3,0,2.0,5.0,2.0
2,1,1,1,0,35.0,344.0,48.0
2,1,4,3,0,27.0,345.0,85.0
2,1,1,3,0,4.0,27.0,12.0
2,1,4,3,0,17.0,74.0,22.0
2,1,1,3,0,7.0,35.0,7.0
2,1,1,3,0,11.0,147.0,47.0
2,1,1,3,0,32.0,557.0,143.0
2,1,4,4,0,3.0,20.0,0.0
2,1,1,3,0,1.0,9.0,11.0
2,1,4,3,0,8.0,52.0,10.0
2,1,1,3,0,12.0,144.0,102.0
2,1,1,3,0,8.0,31.0,7.0
2,1,1,3,0,61.0,196.0,73.0
2,1,1,3,0,9.0,52.0,17.0
2,1,1,3,0,6.0,76.0,65.0
2,1,1,3,0,9.0,111.0,30.0
2,1,4,4,0,38.0,138.0,32.0
2,1,4,3,0,8.0,19.0,18.0
2,1,4,3,0,96.0,128.0,5.0
2,1,4,3,0,138.0,277.0,225.0
2,1,1,3,0,18.0,46.0,21.0
2,1,1,3,0,28.0,84.0,27.0
2,1,4,3,0,96.0,10.0,1.0
2,1,1,3,0,5.0,55.0,24.0
2,1,4,3,0,92.0,507.0,17.0
2,1,1,3,0,48.0,194.0,75.0
2,1,1,3,0,7.0,58.0,3.0
2,1,4,3,0,38.0,187.0,105.0
2,1,1,3,0,3.0,16.0,4.0
2,1,1,3,0,2.0,63.0,16.0
2,1,1,3,0,13.0,50.0,25.0
2,1,1,3,0,7.0,181.0,28.0
2,1,1,3,0,6.0,56.0,10.0
2,1,1,3,0,13.0,115.0,44.0
2,1,1,3,0,12.0,147.0,54.0
2,1,4,3,0,9.0,81.0,19.0
2,1,1,3,0,5.0,28.0,5.0
2,1,1,3,0,3.0,99.0,16.0
2,1,1,3,0,22.0,115.0,10.0
2,1,1,3,0,9.0,107.0,21.0
2,1,2,3,0,2.0,12.0,9.0
2,1,1,3,0,1.0,41.0,3.0
2,1,1,3,0,6.0,21.0,8.0
2,1,2,3,0,26.0,178.0,84.0
2,1,1,3,0,20.0,108.0,46.0
2,1,4,3,0,96.0,156.0,15.0
2,1,1,3,0,9.0,74.0,21.0
2,1,1,3,0,81.0,748.0,154.0
2,1,4,3,0,96.0,9.0,11.0
2,1,1,3,0,21.0,160.0,26.0
2,1,1,3,0,7.0,59.0,9.0
2,1,1,3,0,6.0,22.0,8.0
2,1,1,3,0,5.0,61.0,22.0
2,1,1,3,0,4.0,28.0,4.0
2,1,1,3,0,4.0,44.0,32.0
2,1,1,3,0,60.0,262.0,31.0
2,1,1,3,0,5.0,45.0,29.0
2,1,1,3,0,14.0,261.0,59.0
2,1,4,4,0,114.0,169.0,72.0
2,1,1,3,0,11.0,63.0,24.0
2,1,4,3,0,134.0,166.0,33.0
2,1,4,4,0,205.0,1049.0,997.0
2,1,1,3,0,2.0,26.0,23.0
2,1,4,4,0,96.0,35.0,11.0
2,1,1,3,0,7.0,19.0,5.0
2,1,4,4,0,96.0,33.0,13.0
2,1,4,4,0,39.0,109.0,31.0
2,1,4,3,0,27.0,138.0,166.0
2,1,4,3,0,96.0,24.0,12.0
2,1,1,3,0,8.0,22.0,29.0
2,1,4,4,0,121.0,508.0,777.0
2,1,1,3,0,15.0,94.0,54.0
2,1,4,3,0,196.0,1014.0,86.0
2,1,1,4,0,2.0,50.0,34.0
2,1,4,4,0,8.0,104.0,29.0
2,1,1,3,0,29.0,133.0,36.0
2,1,4,4,0,96.0,23.0,13.0
2,1,4,4,0,96.0,13.0,9.0
2,1,4,3,0,19.0,131.0,13.0
2,1,4,4,0,96.0,217.0,79.0
2,1,4,4,0,70.0,398.0,120.0
2,1,4,4,0,5.0,34.0,17.0
2,1,4,3,1,12.0,67.0,23.0
2,1,4,3,1,38.0,154.0,39.0
2,1,1,3,0,10.0,82.0,6.0
2,1,4,3,1,7.0,36.0,13.0
2,1,2,3,1,96.0,2.0,0.0
2,1,2,3,1,20.0,39.0,5.0
2,1,4,3,1,66.0,55.0,25.0
2,1,4,3,1,7.0,29.0,15.0
2,1,2,3,1,7.0,30.0,9.0
2,1,2,3,1,4.0,17.0,8.0
2,1,4,3,1,13.0,43.0,28.0
2,1,2,3,1,3.0,5.0,12.0
2,1,1,3,1,22.0,175.0,67.0
2,1,2,3,1,4.0,26.0,28.0
2,1,1,3,1,10.0,97.0,39.0
2,1,1,4,1,228.0,447.0,147.0
2,1,2,3,1,6.0,43.0,14.0
2,1,4,3,1,37.0,62.0,40.0
2,1,2,3,1,8.0,40.0,16.0
2,1,2,3,1,20.0,207.0,50.0
2,1,2,3,1,4.0,24.0,25.0
2,1,2,3,0,5.0,35.0,17.0
2,1,4,3,1,37.0,110.0,40.0
2,1,4,4,1,96.0,93.0,68.0
2,1,4,3,1,42.0,336.0,93.0
2,1,4,3,1,73.0,204.0,98.0
2,1,4,3,1,96.0,42.0,18.0
2,1,1,3,1,25.0,184.0,56.0
2,1,4,3,1,45.0,366.0,116.0
2,1,1,3,1,8.0,137.0,67.0
2,1,4,3,1,32.0,97.0,59.0
2,1,4,3,1,108.0,673.0,146.0
2,1,1,3,1,3.0,66.0,33.0
2,1,4,3,1,27.0,540.0,119.0
2,1,1,3,0,21.0,185.0,69.0
2,1,1,3,1,19.0,332.0,68.0
2,1,4,3,1,15.0,306.0,100.0
2,1,4,3,1,1104.0,1420.0,230.0
2,1,4,3,1,375.0,915.0,395.0
2,1,1,3,1,14.0,184.0,107.0
2,1,1,3,0,76.0,387.0,59.0
2,1,4,3,0,10.0,10.0,16.0
2,1,1,3,0,7.0,76.0,9.0
2,1,1,3,0,7.0,29.0,6.0
2,1,4,3,0,23.0,422.0,215.0
2,1,1,3,0,9.0,39.0,8.0
2,1,1,3,1,5.0,68.0,42.0
2,1,1,3,1,65.0,461.0,90.0
2,1,4,3,1,13.0,138.0,50.0
2,1,1,3,0,1.0,19.0,3.0
1,2,1,3,0,130.0,1032.0,382.0
1,2,1,1,0,241.0,2027.0,226.0
1,2,1,1,0,991.0,3087.0,313.0
1,2,1,3,0,1190.0,5112.0,293.0
1,2,1,3,0,1018.0,4388.0,122.0
1,2,1,3,0,375.0,3015.0,88.0
1,2,1,3,0,557.0,1597.0,225.0
1,2,1,3,0,894.0,3454.0,325.0
1,2,1,3,0,132.0,866.0,183.0
1,2,1,3,0,1138.0,5281.0,318.0
1,2,1,1,0,1145.0,6552.0,562.0
1,2,1,1,0,8466.0,7584.0,1343.0
1,2,1,3,0,827.0,3491.0,161.0
1,2,1,3,0,426.0,2475.0,124.0
1,2,1,2,0,167.0,862.0,102.0
1,2,1,3,0,896.0,2707.0,305.0
1,2,1,1,0,1400.0,2728.0,707.0
1,2,1,3,0,1935.0,4933.0,444.0
1,2,1,3,0,261.0,931.0,365.0
1,2,1,3,0,1147.0,3403.0,386.0
1,2,1,3,0,248.0,894.0,66.0
1,2,1,2,0,156.0,661.0,107.0
1,2,1,3,0,278.0,1866.0,68.0
1,2,1,1,0,215.0,658.0,144.0
1,2,1,3,0,1082.0,2380.0,436.0
1,2,1,3,0,368.0,922.0,192.0
1,2,1,3,0,202.0,576.0,85.0
1,2,1,3,0,363.0,1621.0,316.0
1,2,1,1,0,4135.0,4589.0,937.0
1,2,1,1,0,1132.0,6369.0,416.0
1,2,1,3,0,658.0,1929.0,390.0
1,2,1,1,0,379.0,3120.0,253.0
1,2,1,1,0,3191.0,8908.0,585.0
1,2,1,2,0,285.0,934.0,153.0
1,2,1,3,0,691.0,1597.0,390.0
1,2,1,3,0,76.0,535.0,135.0
1,2,1,3,0,237.0,1943.0,43.0
1,2,1,3,0,1638.0,6946.0,727.0
1,2,1,3,0,80.0,808.0,131.0
1,2,1,3,0,1048.0,2842.0,426.0
1,2,1,1,0,667.0,1095.0,113.0
1,2,1,3,0,91.0,410.0,54.0
1,2,1,3,0,96.0,3012.0,130.0
1,2,1,1,0,96.0,1952.0,162.0
1,2,1,3,0,2957.0,4918.0,357.0
1,2,1,3,0,9243.0,8634.0,881.0
1,2,1,3,0,1005.0,1989.0,711.0
1,2,1,1,0,128.0,795.0,126.0
1,2,1,3,0,218.0,748.0,154.0
1,2,1,3,0,671.0,2264.0,1030.0
1,2,1,3,0,390.0,1449.0,273.0
1,2,1,4,0,493.0,1404.0,167.0
1,2,1,3,0,255.0,1329.0,79.0
1,2,1,3,0,148.0,925.0,32.0
1,2,1,1,0,258.0,1104.0,191.0
1,2,1,3,0,1742.0,3394.0,431.0
1,2,1,3,0,12.0,71.0,1.0
1,2,1,2,0,96.0,1397.0,708.0
1,2,1,3,0,1005.0,1856.0,290.0
1,2,1,3,0,331.0,1011.0,208.0
1,2,1,3,0,156.0,1706.0,28.0
1,2,1,1,0,709.0,2951.0,82.0
1,2,1,1,0,1475.0,4451.0,511.0
1,2,1,3,0,167.0,832.0,45.0
1,2,1,1,0,1281.0,3973.0,547.0
1,2,1,3,0,270.0,1465.0,103.0
1,2,1,3,0,873.0,4521.0,120.0
1,2,1,1,0,1150.0,3348.0,710.0
1,2,1,2,0,3063.0,3971.0,1006.0
1,2,1,3,0,569.0,2151.0,584.0
1,2,1,3,0,136.0,609.0,30.0
1,2,1,3,0,72.0,542.0,18.0
1,2,1,4,0,205.0,2197.0,98.0
1,2,1,1,0,1222.0,2516.0,676.0
1,2,1,3,0,540.0,1632.0,705.0
1,2,2,4,0,3532.0,6784.0,318.0
1,2,2,4,0,14529.0,12385.0,666.0
1,2,1,1,0,96.0,1265.0,577.0
1,2,2,4,0,1.0,4497.0,402.0
1,2,2,3,0,96.0,4845.0,928.0
1,2,1,3,0,122.0,1641.0,269.0
1,2,1,3,0,189.0,1111.0,619.0
1,2,1,1,1,2426.0,5873.0,1021.0
1,2,1,3,0,115.0,721.0,195.0
1,2,1,3,0,258.0,1900.0,425.0
1,2,1,4,0,234.0,645.0,50.0
1,2,1,3,0,513.0,1685.0,983.0
1,2,1,3,0,98.0,518.0,135.0
1,2,1,3,0,266.0,766.0,158.0
1,2,1,3,0,104.0,1226.0,119.0
1,2,1,3,0,123.0,1180.0,88.0
1,2,1,3,0,465.0,2116.0,186.0
1,2,1,3,0,5028.0,4650.0,660.0
1,2,1,3,0,420.0,1373.0,181.0
1,2,1,2,0,4708.0,13821.0,486.0
1,2,1,3,0,3658.0,9777.0,3388.0
1,2,1,3,0,321.0,3326.0,168.0
1,2,1,3,0,1107.0,2870.0,221.0
1,2,1,3,0,7855.0,7048.0,392.0
1,2,1,3,0,687.0,1673.0,154.0
1,2,1,3,0,930.0,4095.0,428.0
1,2,1,3,0,1354.0,4298.0,209.0
1,2,1,2,0,273.0,2423.0,301.0
1,2,1,3,0,533.0,1635.0,552.0
1,2,1,1,0,298.0,1475.0,279.0
1,2,1,3,0,273.0,1014.0,168.0
1,2,1,3,0,555.0,2176.0,399.0
1,2,1,2,0,4587.0,7960.0,2770.0
1,2,1,3,0,605.0,1767.0,1001.0
1,2,1,4,0,7326.0,12324.0,317.0
1,2,1,3,0,1378.0,2292.0,177.0
1,2,1,3,0,769.0,2745.0,343.0
1,2,1,3,0,1156.0,6117.0,229.0
1,2,4,4,0,96.0,1152.0,124.0
1,2,1,3,0,6180.0,11698.0,442.0
1,2,1,3,1,1444.0,9170.0,1672.0
1,2,1,4,1,131.0,1418.0,83.0
1,2,1,1,1,2283.0,3391.0,373.0
1,2,1,1,1,864.0,2948.0,233.0
1,2,1,3,0,2478.0,5419.0,832.0
1,2,4,3,1,275.0,1452.0,110.0
1,2,1,1,1,818.0,3528.0,402.0
1,2,1,4,1,901.0,4563.0,118.0
1,2,1,3,1,1275.0,3156.0,342.0
1,2,1,3,1,218.0,1808.0,113.0
1,2,1,3,1,247.0,2467.0,126.0
1,2,1,3,1,362.0,3086.0,224.0
1,2,1,3,1,586.0,2327.0,151.0
1,2,1,3,1,276.0,1549.0,417.0
1,2,1,3,0,273.0,1316.0,497.0
1,2,1,3,1,220.0,2193.0,236.0
1,2,1,3,0,2188.0,4154.0,321.0
1,2,1,4,1,305.0,2351.0,153.0
1,2,1,3,1,291.0,1909.0,509.0
1,2,1,3,0,2119.0,4853.0,1404.0
1,2,1,3,1,913.0,5265.0,182.0
1,2,1,3,1,2292.0,7051.0,932.0
1,2,1,3,1,153.0,1054.0,234.0
1,2,1,3,1,1040.0,4425.0,135.0
1,2,1,3,1,4000.0,6878.0,255.0
2,3,1,3,0,8.0,61.0,62.0
2,3,1,3,0,6.0,38.0,39.0
2,3,1,3,0,122.0,521.0,214.0
2,3,1,3,0,19.0,90.0,88.0
2,3,1,3,0,119.0,541.0,206.0
2,3,1,3,0,21.0,135.0,57.0
2,3,1,3,0,58.0,492.0,414.0
2,3,1,3,0,29.0,219.0,136.0
2,3,1,3,0,46.0,634.0,229.0
2,3,1,3,0,33.0,548.0,305.0
2,3,1,3,0,17.0,92.0,66.0
2,3,1,3,0,75.0,404.0,310.0
2,3,1,3,0,21.0,125.0,94.0
2,3,1,3,0,101.0,621.0,564.0
2,3,4,3,0,465.0,4084.0,3299.0
2,3,1,3,0,19.0,132.0,86.0
2,3,4,3,0,787.0,3147.0,1511.0
2,3,1,3,0,78.0,513.0,424.0
2,3,1,3,0,85.0,793.0,403.0
2,3,1,3,0,170.0,1444.0,486.0
2,3,1,3,0,28.0,284.0,150.0
2,3,4,3,0,279.0,1738.0,738.0
2,3,1,3,0,3.0,37.0,51.0
2,3,1,3,0,187.0,1681.0,548.0
2,3,1,3,0,142.0,1063.0,443.0
2,3,1,3,0,87.0,761.0,404.0
2,3,1,3,0,17.0,124.0,40.0
2,3,1,3,0,55.0,299.0,131.0
2,3,1,3,0,46.0,674.0,339.0
2,3,1,3,0,130.0,633.0,426.0
2,3,1,3,0,6.0,56.0,30.0
2,3,1,3,0,72.0,584.0,215.0
2,3,4,3,0,51.0,330.0,584.0
2,3,1,3,0,156.0,377.0,284.0
2,3,1,3,0,11.0,88.0,117.0
2,3,4,3,0,119.0,1687.0,2877.0
2,3,1,3,0,150.0,636.0,382.0
2,3,1,3,0,17.0,138.0,130.0
2,3,1,3,0,95.0,251.0,231.0
2,3,4,3,0,101.0,509.0,251.0
2,3,1,3,0,22.0,285.0,185.0
2,3,4,3,0,72.0,578.0,1003.0
2,3,1,3,0,4.0,32.0,60.0
2,3,1,3,0,224.0,907.0,551.0
2,3,1,3,0,39.0,185.0,277.0
2,3,1,3,0,128.0,694.0,316.0
2,3,1,3,0,36.0,559.0,420.0
2,3,1,3,0,10.0,55.0,57.0
2,3,1,3,0,48.0,355.0,160.0
2,3,1,3,0,33.0,293.0,325.0
2,3,1,3,0,264.0,1274.0,675.0
2,3,1,3,0,36.0,284.0,288.0
2,3,1,1,0,403.0,2518.0,389.0
2,3,1,3,0,17.0,78.0,112.0
2,3,1,3,0,28.0,375.0,204.0
2,3,1,3,0,30.0,162.0,143.0
2,3,1,3,0,1.0,89.0,77.0
2,3,1,3,0,4.0,58.0,45.0
2,3,1,3,0,2.0,36.0,33.0
2,3,1,3,0,9.0,95.0,95.0
2,3,1,3,0,22880.0,6899.0,1145.0
2,3,1,3,0,99.0,888.0,402.0
2,3,1,3,0,554.0,1672.0,1248.0
2,3,1,3,0,103.0,733.0,468.0
2,3,2,4,0,3.0,28.0,61.0
2,3,1,3,0,14.0,116.0,75.0
2,3,1,3,0,19.0,207.0,224.0
2,3,4,3,0,56.0,509.0,297.0
2,3,1,3,0,57.0,451.0,146.0
2,3,1,3,0,39.0,270.0,182.0
2,3,1,3,0,53.0,433.0,204.0
2,3,1,3,0,579.0,2805.0,374.0
2,3,1,3,0,36.0,463.0,230.0
2,3,4,3,0,71.0,833.0,339.0
2,3,1,3,0,7.0,76.0,62.0
2,3,4,3,0,308.0,1560.0,568.0
2,3,4,3,0,513.0,1628.0,1515.0
2,3,1,3,0,31.0,455.0,227.0
2,3,1,3,0,183.0,654.0,258.0
2,3,1,3,0,231.0,1224.0,549.0
2,3,1,3,0,15.0,169.0,100.0
2,3,1,3,0,43.0,293.0,248.0
2,3,1,3,0,187.0,596.0,402.0
2,3,4,3,0,111.0,529.0,583.0
2,3,1,3,0,651.0,1418.0,558.0
2,3,1,3,0,23.0,363.0,147.0
2,3,1,3,0,29.0,68.0,23.0
2,3,1,3,0,288.0,2459.0,587.0
2,3,1,3,0,20.0,164.0,87.0
2,3,1,3,0,37.0,254.0,198.0
2,3,1,3,0,96.0,352.0,122.0
2,3,1,3,0,127.0,1015.0,260.0
2,3,1,1,0,271.0,1554.0,375.0
2,3,1,3,0,41.0,340.0,533.0
2,3,1,3,0,14.0,56.0,48.0
2,3,1,3,0,5.0,39.0,47.0
2,3,1,4,0,2.0,37.0,82.0
2,3,1,3,0,75.0,285.0,187.0
2,3,1,4,0,88.0,555.0,210.0
2,3,1,1,0,269.0,1195.0,255.0
2,3,1,3,0,150.0,208.0,177.0
2,3,1,3,0,71.0,436.0,433.0
2,3,1,3,0,16.0,211.0,123.0
2,3,1,3,0,59.0,371.0,292.0
2,3,1,3,0,14.0,169.0,88.0
2,3,1,3,0,222.0,602.0,351.0
2,3,1,3,0,16.0,67.0,53.0
2,3,1,3,0,9.0,50.0,39.0
2,3,1,3,0,21.0,112.0,129.0
2,3,1,3,0,10.0,44.0,30.0
2,3,1,3,0,18.0,192.0,210.0
2,3,1,3,0,260.0,1042.0,768.0
2,3,1,3,0,25.0,174.0,88.0
2,3,1,3,0,11.0,60.0,70.0
2,3,1,3,0,56.0,184.0,224.0
2,3,1,3,0,64.0,250.0,140.0
2,3,1,3,0,17.0,88.0,56.0
2,3,1,3,0,46.0,259.0,126.0
2,3,1,3,0,53.0,374.0,138.0
2,3,1,3,0,63.0,313.0,138.0
2,3,1,3,0,7.0,93.0,80.0
2,3,4,4,0,945.0,4207.0,327.0
2,3,1,3,0,115.0,775.0,544.0
2,3,1,3,0,27.0,620.0,236.0
2,3,1,3,0,5.0,37.0,35.0
2,3,4,3,0,56.0,386.0,293.0
2,3,4,3,0,148.0,691.0,1333.0
2,3,1,3,0,734.0,2447.0,399.0
2,3,1,3,0,36.0,283.0,95.0
2,3,1,3,0,615.0,2711.0,704.0
2,3,1,3,0,9.0,79.0,46.0
2,3,1,3,0,57.0,326.0,247.0
2,3,1,3,0,153.0,505.0,415.0
2,3,1,3,0,91.0,661.0,290.0
2,3,1,3,0,53.0,211.0,191.0
2,3,1,3,0,6.0,136.0,105.0
2,3,1,3,0,43.0,352.0,271.0
2,3,1,3,0,15.0,85.0,60.0
2,3,1,3,0,67.0,525.0,386.0
2,3,1,4,0,79.0,608.0,1255.0
2,3,1,3,0,52.0,220.0,200.0
2,3,1,3,0,206.0,1860.0,656.0
2,3,1,3,0,11.0,83.0,37.0
2,3,4,3,0,96.0,475.0,252.0
2,3,4,3,0,91.0,430.0,375.0
2,3,1,3,0,100.0,397.0,269.0
2,3,1,3,0,33.0,273.0,203.0
2,3,1,3,0,35.0,463.0,243.0
2,3,4,3,0,218.0,749.0,713.0
2,3,1,3,0,187.0,2369.0,477.0
2,3,1,3,0,75.0,819.0,760.0
2,3,1,3,0,21.0,464.0,188.0
2,3,1,3,0,9.0,46.0,34.0
2,3,1,3,0,127.0,167.0,81.0
2,3,1,3,0,79.0,604.0,256.0
2,3,1,3,0,8.0,51.0,36.0
2,3,1,3,0,217.0,2790.0,349.0
2,3,1,3,0,537.0,1723.0,440.0
2,3,1,3,0,152.0,431.0,276.0
2,3,1,3,0,53.0,299.0,262.0
2,3,1,3,0,18.0,100.0,122.0
2,3,1,3,0,87.0,459.0,132.0
2,3,1,3,0,209.0,2033.0,500.0
2,3,1,3,0,279.0,2409.0,537.0
2,3,1,3,0,21.0,307.0,218.0
2,3,1,3,0,31.0,377.0,103.0
2,3,1,3,0,27.0,177.0,98.0
2,3,1,3,0,13.0,57.0,45.0
2,3,1,3,0,26.0,66.0,80.0
2,3,1,3,0,29.0,171.0,72.0
2,3,1,3,0,16.0,73.0,62.0
2,3,1,3,0,128.0,392.0,96.0
2,3,1,3,0,38.0,171.0,72.0
2,3,1,3,0,39.0,143.0,103.0
2,3,2,3,0,8.0,50.0,21.0
2,3,1,3,0,8.0,529.0,196.0
2,3,1,3,0,315.0,1499.0,361.0
2,3,4,3,0,271.0,1234.0,387.0
2,3,1,3,0,10.0,77.0,64.0
2,3,1,3,1,110.0,513.0,191.0
2,3,1,3,0,6.0,45.0,30.0
2,3,1,3,0,11.0,140.0,150.0
2,3,1,3,0,136.0,685.0,208.0
2,3,1,3,0,25.0,121.0,111.0
2,3,1,3,0,619.0,3588.0,187.0
2,3,1,3,0,55.0,353.0,171.0
2,3,1,3,0,20.0,181.0,182.0
2,3,1,3,0,133.0,802.0,541.0
2,3,1,3,0,27.0,426.0,108.0
2,3,1,3,0,6.0,48.0,88.0
2,3,1,3,0,99.0,413.0,194.0
2,3,2,4,0,6.0,47.0,52.0
2,3,1,3,0,23.0,80.0,110.0
2,3,4,3,0,185.0,1039.0,756.0
2,3,1,3,0,14.0,111.0,174.0
2,3,1,3,0,129.0,764.0,403.0
2,3,1,3,0,14.0,136.0,59.0
2,3,1,3,0,26.0,152.0,203.0
2,3,4,3,0,74.0,703.0,976.0
2,3,1,3,0,25.0,231.0,178.0
2,3,4,3,0,143.0,1599.0,1732.0
2,3,1,3,0,17.0,98.0,160.0
2,3,1,3,0,24.0,286.0,177.0
2,3,1,3,0,218.0,1016.0,411.0
2,3,1,3,0,7.0,41.0,18.0
2,3,4,3,0,31.0,139.0,58.0
2,3,1,3,0,17.0,100.0,74.0
2,3,1,3,0,25.0,206.0,103.0
2,3,1,3,0,7.0,52.0,65.0
2,3,1,3,0,109.0,564.0,396.0
2,3,1,3,0,24.0,238.0,88.0
2,3,1,3,0,21.0,123.0,82.0
2,3,1,3,0,15.0,77.0,59.0
2,3,1,3,0,32.0,87.0,51.0
2,3,1,3,0,6.0,50.0,55.0
2,3,1,3,0,21.0,452.0,372.0
2,3,1,3,0,21.0,56.0,59.0
2,3,1,3,0,19.0,219.0,144.0
2,3,1,3,0,215.0,558.0,250.0
2,3,1,3,0,21.0,237.0,160.0
2,3,1,3,0,7.0,50.0,21.0
2,3,1,3,0,88.0,799.0,344.0
2,3,1,3,0,79.0,985.0,430.0
2,3,1,3,0,107.0,700.0,194.0
2,3,1,3,0,13.0,114.0,194.0
2,3,1,3,0,56.0,371.0,200.0
2,3,1,3,0,12.0,82.0,53.0
2,3,1,3,0,1447.0,2251.0,1183.0
2,3,1,3,0,19.0,93.0,48.0
2,3,1,3,0,65.0,225.0,168.0
2,3,1,3,0,25.0,200.0,92.0
2,3,1,3,0,53.0,268.0,83.0
2,3,3,3,0,4.0,95.0,103.0
2,3,1,3,0,12.0,75.0,44.0
2,3,1,3,0,309.0,2061.0,861.0
2,3,4,3,0,39.0,144.0,62.0
2,3,1,3,0,267.0,3169.0,451.0
2,3,1,3,0,57.0,205.0,89.0
2,3,1,3,0,5.0,83.0,81.0
2,3,4,3,0,46.0,186.0,26.0
2,3,1,3,0,14.0,197.0,111.0
2,3,1,3,0,23.0,60.0,50.0
2,3,1,3,0,64.0,459.0,279.0
2,3,1,3,0,53.0,520.0,167.0
2,3,1,3,0,19.0,141.0,45.0
